,Rank,County,Population
0,1,Los Angeles,10098052
1,2,San Diego,3302833
2,3,Orange,3164182
3,4,Riverside,2383286
4,5,San Bernardino,2135413
5,6,Santa Clara,1922200
6,7,Alameda,1643700
7,8,Sacramento,1510023
8,9,Contra Costa,1133247
9,10,Fresno,978130
10,11,Kern,883053
11,12,San Francisco,870044
12,13,Ventura,848112
13,14,San Mateo,765935
14,15,San Joaquin,732212
15,16,Stanislaus,539301
16,17,Sonoma,501317
17,18,Tulare,460477
18,19,Santa Barbara,443738
19,20,Solano,438530
20,21,Monterey,433212
21,22,Placer,380077
22,23,San Luis Obispo,281455
23,24,Santa Cruz,273765
24,25,Merced,269075
25,26,Marin,260295
26,27,Butte,227075
27,28,Yolo,214977
28,29,El Dorado,186661
29,30,Imperial,180216
30,31,Shasta,179085
31,32,Madera,155013
32,33,Kings,150075
33,34,Napa,140530
34,35,Humboldt,135768
35,36,Nevada,99092
36,37,Sutter,95872
37,38,Mendocino,87422
38,39,Yuba,75493
39,40,Lake,64148
40,41,Tehama,63373
41,42,San Benito,59416
42,43,Tuolumne,53932
43,44,Calaveras,45235
44,45,Siskiyou,43540
45,46,Amador,37829
46,47,Lassen,31185
47,48,Glenn,27897
48,49,Del Norte,27424
49,50,Colusa,21464
50,51,Plumas,18699
51,52,Inyo,18085
52,53,Mariposa,17540
53,54,Mono,14174
54,55,Trinity,12862
55,56,Modoc,8938
56,57,Sierra,2930
57,58,Alpine,1146
