,County,Population,Density,Per_capita_income,Household income,Family income
0,Alameda,1559308,2109.8,36439.0,73775.0,90822.0
1,Alpine,1202,1.6,24375.0,61343.0,71932.0
2,Amador,37159,62.5,27373.0,52964.0,68765.0
3,Butte,221578,135.4,24430.0,43165.0,56934.0
4,Calaveras,44921,44.0,29296.0,54936.0,67100.0
5,Colusa,21424,18.6,22211.0,50503.0,56472.0
6,Contra Costa,1081232,1496.0,38770.0,79799.0,95087.0
7,Del Norte,28066,27.9,19424.0,39302.0,52452.0
8,El Dorado,181465,106.3,35128.0,68507.0,84690.0
9,Fresno,948844,159.2,20231.0,45201.0,50046.0
10,Glenn,28019,21.3,21698.0,40106.0,51940.0
11,Humboldt,134876,37.8,23516.0,42153.0,53532.0
12,Imperial,177026,42.4,16409.0,41772.0,46555.0
13,Inyo,18439,1.8,27028.0,45625.0,69041.0
14,Kern,857730,105.5,20467.0,48574.0,52541.0
15,Kings,151390,109.0,18518.0,47341.0,50202.0
16,Lake,64209,51.1,21310.0,35997.0,47773.0
17,Lassen,33356,7.3,19847.0,53351.0,66717.0
18,Los Angeles,9974203,2457.9,27987.0,55870.0,62289.0
19,Madera,152452,71.3,17797.0,45490.0,49964.0
20,Marin,256802,493.4,58004.0,91529.0,120030.0
21,Mariposa,17946,12.4,28327.0,50560.0,63520.0
22,Mendocino,87612,25.0,23712.0,43290.0,53996.0
23,Merced,261609,135.2,18464.0,43066.0,47729.0
24,Modoc,9335,2.4,21830.0,38560.0,46536.0
25,Mono,14193,4.7,29578.0,61814.0,73494.0
26,Monterey,424927,129.5,25048.0,58582.0,62370.0
27,Napa,139253,186.1,35092.0,70925.0,81275.0
28,Nevada,98606,103.0,32117.0,56949.0,69649.0
29,Orange,3086331,3903.6,34416.0,75998.0,85472.0
30,Placer,361518,256.9,35711.0,73747.0,88615.0
31,Plumas,19286,7.6,29167.0,48032.0,60709.0
32,Riverside,2266899,314.6,23660.0,56592.0,63523.0
33,Sacramento,1450277,1503.0,27071.0,55615.0,64496.0
34,San Benito,56888,41.0,26317.0,67874.0,71124.0
35,San Bernardino,2078586,103.6,21384.0,54100.0,59626.0
36,San Diego,3183143,756.7,31043.0,63996.0,74569.0
37,San Francisco,829072,17680.1,49986.0,78378.0,93391.0
38,San Joaquin,701050,503.9,22642.0,53253.0,59614.0
39,San Luis Obispo,274184,83.1,30392.0,59454.0,75828.0
40,San Mateo,739837,1649.7,47198.0,91421.0,108088.0
41,Santa Barbara,431555,157.8,30526.0,63409.0,73636.0
42,Santa Clara,1841569,1427.3,42666.0,93854.0,106401.0
43,Santa Cruz,267203,600.2,33050.0,66923.0,81495.0
44,Shasta,178520,47.3,23763.0,44556.0,55028.0
45,Sierra,3019,3.2,28030.0,43107.0,57708.0
46,Siskiyou,44261,7.1,22482.0,37495.0,46079.0
47,Solano,421624,513.1,29132.0,67341.0,77634.0
48,Sonoma,491790,312.1,33361.0,63799.0,76614.0
49,Stanislaus,522794,349.8,21729.0,49573.0,55357.0
50,Sutter,95067,157.8,23828.0,51527.0,58434.0
51,Tehama,63284,21.5,21002.0,42369.0,49731.0
52,Trinity,13515,4.3,23145.0,36862.0,49221.0
53,Tulare,451108,93.5,17888.0,42863.0,45296.0
54,Tuolumne,54347,24.5,26063.0,48493.0,58355.0
55,Ventura,835790,453.5,33308.0,77335.0,86890.0
56,Yolo,204162,201.2,28080.0,55508.0,75225.0
57,Yuba,73059,115.6,19586.0,45470.0,49560.0
